orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
1,CÂMARA MUNICIPAL DE VEREADORES,1,Câmara Municipal de Vereadores,4631637.42
2,GABINETE DO PREFEITO,1,Gabinete do Prefeito,2547727.50
3,GABINETE DO VICE PREFEITO,1,Diretoria de Apoio ao Gabinete do Vice Prefeito,551320.00
6,SECRETARIA MUNICIPAL DE COMUNICAÇÃO SOCIAL,1,Diretoria de Comunicação Social,505000.00
6,SECRETARIA MUNICIPAL DE COMUNICAÇÃO SOCIAL,2,Diretoria de Imprensa,518300.00
7,SECRETARIA MUNICIPAL DE GOVERNO,1,Diretoria de Projetos,1490500.00
7,SECRETARIA MUNICIPAL DE GOVERNO,2,Diretoria de Captação de Recursos,30000.00
8,PROCURADORIA GERAL DO MUNICÍPIO,1,Procuradoria Geral do Município,2616260.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,1,Diretoria de Gestão de Recursos Humanos,5500000.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,2,Diretoria de Gestão de Bens Materiais e Serviços,1159740.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,3,Diretoria de Tecnologia da Informação,180000.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,4,Diretoria de Gestão Patrimonial,70000.00
10,SECRETARIA MUN. FINANÇAS,1,Diretoria de Contabilidade,553500.00
10,SECRETARIA MUN. FINANÇAS,2,Diretoria do Tesouro,11344690.00
12,SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Diretoria de Programas Sociais,4645247.00
13,SECRETARIA DA EDUCAÇÃO,1,Diretoria Administrativa,7477885.15
13,SECRETARIA DA EDUCAÇÃO,2,Diretoria Pedagógica,89993794.04
13,SECRETARIA DA EDUCAÇÃO,3,Diretoria de Projetos Educacionais,2861581.66
14,"SECRETARIA MUN.MEIO AMBIENTE,AGRICULTURA E PESCA",1,Diretoria de Apoio à Pesca Artesanal,70000.00
14,"SECRETARIA MUN.MEIO AMBIENTE,AGRICULTURA E PESCA",2,Diretoria de Apoio à Agricultura e Pecuária,1351250.00
15,SECRETARIA MUNICIPAL DA SEGURANÇA E DEFESA SOCIAL,1,Diretoria de Segurança e Defesa Social,1349500.00
16,"SECRETARIA MUNICIPAL DE TURISMO,CULTURA E ESPORTE",1,Diretoria de Eventos e Marketing,2677010.05
17,SECRETARIA MUNICIPAL DE OBRAS,1,Diretoria de Operações,17416614.00
17,SECRETARIA MUNICIPAL DE OBRAS,2,Diretoria de Serviços Públicos,4048473.91
17,SECRETARIA MUNICIPAL DE OBRAS,3,Diretoria de Pavimentações,12924581.71
17,SECRETARIA MUNICIPAL DE OBRAS,4,Diretoria de Controle de Materiais e Serviços,2399990.00
18,FUNDAÇÃO MUNICIPAL DO MEIO AMBIENTE DE NAVEGANTES,1,Diretoria Técnica - FUMAN,796912.00
18,FUNDAÇÃO MUNICIPAL DO MEIO AMBIENTE DE NAVEGANTES,2,Diretoria Administrativa - FUMAN,1218090.00
19,FUNDAÇÃO MUNICIPAL DE CULTURA,1,Diretoria Técnica - FMC,886000.00
