orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
1,CÂMARA MUNICIPAL DE VEREADORES,1,Câmara Municipal de Vereadores,4990061.10
2,PREFEITURA MUNICIPAL,1,Gabinete do Prefeito,1915000.00
3,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundo Municipal de Assistência Social,623000.00
6,SECRETARIA MUNICIPAL DE COMUNICAÇÃO SOCIAL,1,Fundação Municipal de Cultura,1259800.00
7,SECRETARIA MUNICIPAL DE GOVERNO,1,Fundo dos Direitos da Criança e Adolescente,1285000.00
8,PROCURADORIA GERAL DO MUNICÍPIO,1,Procuradoria Geral do Município,2739000.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,1,Instituto Ambiental de Navegantes - IAN,6082490.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,2,Diretoria de Gestão de Bens Materiais e Serviços,1214200.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,3,Diretoria de Tecnologia da Informação,240000.00
9,SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO E LOGÍSTICA,4,Diretoria de Gestão Patrimonial,70000.00
10,FUNDO DE SEGURANÇA CONTRA INCENDIO E PANICO FUMSCI,1,Fundo de Segurança contra Incêndio e Pânico FUMSCI,620000.00
10,FUNDO DE SEGURANÇA CONTRA INCENDIO E PANICO FUMSCI,2,Diretoria do Tesouro,13656528.05
12,SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundação Municipal de Vigilância e Trânsito,6259584.20
13,SECRETARIA DA EDUCAÇÃO,1,Instituto de Previdência Social dos Servidores Mun,101733453.44
13,SECRETARIA DA EDUCAÇÃO,2,Diretoria Pedagógica,22095636.16
13,SECRETARIA DA EDUCAÇÃO,3,Diretoria de Projetos Educacionais,1800000.00
14,"SECRETARIA MUN.MEIO AMBIENTE,AGRICULTURA E PESCA",1,Diretoria de Apoio à Pesca Artesanal,70000.00
14,"SECRETARIA MUN.MEIO AMBIENTE,AGRICULTURA E PESCA",2,Diretoria de Apoio à Agricultura e Pecuária,1928100.00
15,SECRETARIA MUNICIPAL DA SEGURANÇA E DEFESA SOCIAL,1,Diretoria de Segurança e Defesa Social,1539490.00
16,"SECRETARIA MUNICIPAL DE TURISMO,CULTURA E ESPORTE",1,Diretoria de Eventos e Marketing,3244190.00
17,SECRETARIA MUNICIPAL DE OBRAS,1,Diretoria de Operações,22111654.24
17,SECRETARIA MUNICIPAL DE OBRAS,2,Diretoria de Serviços Públicos,10580984.50
17,SECRETARIA MUNICIPAL DE OBRAS,3,Diretoria de Pavimentações,25224346.01
17,SECRETARIA MUNICIPAL DE OBRAS,4,Diretoria de Controle de Materiais e Serviços,1486375.00
18,FUNDAÇÃO MUNICIPAL DO MEIO AMBIENTE DE NAVEGANTES,1,Diretoria Técnica - FUMAN,1619078.32
19,FUNDAÇÃO MUNICIPAL DE CULTURA,1,Diretoria Técnica - FMC,1582124.00
19,FUNDAÇÃO MUNICIPAL DE CULTURA,3,Fundo Municipal de Cultura,488339.00
20,FUNDAÇÃO MUNICIPAL DE ESPORTES,1,Diretoria Técnica - FME,2624093.00
20,FUNDAÇÃO MUNICIPAL DE ESPORTES,3,Fundo de Desenvolvimento do Esporte e Lazer FUNDEL,50000.00
21,FUNDAÇÃO HOSPITALAR DE NAVEGANTES,1,Diretoria Adsministrativa - FHMN,860000.00
22,FUNDAÇÃO MUNICIPAL DE VIGILÂNCIA E TRÃNSITO,1,Diretoria Técnica - FMV,2488874.89
23,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundo Municipal de Assistência Social,2339248.29
24,FUNDO MUN. DOS DIREITOS DA CRIANÇA E ADOLESCENTE,1,Fundo Mun. dos Direitos da Criança e Adolescente,438000.00
25,FUNDO MUNICIPAL DE SAÚDE,1,Diretoria Administrativa,36921885.35
25,FUNDO MUNICIPAL DE SAÚDE,5,Bloco Atenção Básica,7483949.48
25,FUNDO MUNICIPAL DE SAÚDE,6,Bloco Assistência Farmacêutica,1077502.00
25,FUNDO MUNICIPAL DE SAÚDE,7,Bloco Gestão SUS,240504.00
