orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
17,SECRETARIA MUNICIPAL DE OBRAS,1,Diretoria de Operações,17154315.00
17,SECRETARIA MUNICIPAL DE OBRAS,2,Diretoria de Serviços Públicos,1855000.00
17,SECRETARIA MUNICIPAL DE OBRAS,3,Diretoria de Pavimentações,29081600.57
17,SECRETARIA MUNICIPAL DE OBRAS,4,Diretoria de Controle de Materiais e Serviços,3019760.00
18,FUNDAÇÃO MUNICIPAL DO MEIO AMBIENTE DE NAVEGANTES,1,Diretoria Técnica - FUMAN,2329940.00
18,FUNDAÇÃO MUNICIPAL DO MEIO AMBIENTE DE NAVEGANTES,2,Diretoria Administrativa - FUMAN,827041.00
19,FUNDAÇÃO MUNICIPAL DE CULTURA,1,Diretoria Técnica - FMC,628600.00
19,FUNDAÇÃO MUNICIPAL DE CULTURA,2,Diretoria Administrativa - FMC,1355884.00
19,FUNDAÇÃO MUNICIPAL DE CULTURA,3,Fundo Municipal de Cultura,377782.00
20,FUNDAÇÃO MUNICIPAL DE ESPORTES,1,Diretoria Técnica - FME,2173041.00
20,FUNDAÇÃO MUNICIPAL DE ESPORTES,2,Diretoria Administrativa - FME,1106636.00
20,FUNDAÇÃO MUNICIPAL DE ESPORTES,3,Fundo de Desenvolvimento do Esporte e Lazer FUNDEL,180000.00
21,FUNDAÇÃO HOSPITALAR DE NAVEGANTES,1,Diretoria Adsministrativa - FHMN,11516681.00
21,FUNDAÇÃO HOSPITALAR DE NAVEGANTES,2,Diretoria Clínica,180550.00
22,FUNDAÇÃO MUNICIPAL DE VIGILÂNCIA E TRÃNSITO,1,Diretoria Técnica - FMV,1031028.00
22,FUNDAÇÃO MUNICIPAL DE VIGILÂNCIA E TRÃNSITO,2,Diretoria Administrativa - FMV,1402420.00
23,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundo Municipal de Assistência Social,2358132.00
24,FUNDO MUN. DOS DIREITOS DA CRIANÇA E ADOLESCENTE,1,Fundo Mun. dos Direitos da Criança e Adolescente,336674.00
25,FUNDO MUNICIPAL DE SAÚDE,1,Diretoria Administrativa,20420291.09
25,FUNDO MUNICIPAL DE SAÚDE,5,Bloco Atenção Básica,9168120.00
25,FUNDO MUNICIPAL DE SAÚDE,6,Bloco Assistência Farmacêutica,856524.00
25,FUNDO MUNICIPAL DE SAÚDE,7,Bloco Gestão SUS,84504.00
25,FUNDO MUNICIPAL DE SAÚDE,8,Bloco Investimento,4769856.00
25,FUNDO MUNICIPAL DE SAÚDE,9,Bloco Média e Alta Complexidade Ambulatorial e Hos,12691143.00
25,FUNDO MUNICIPAL DE SAÚDE,10,Bloco Vigilância em Saúde,1648600.00
27,FUNDO MUN.REEQUIP.CORPO BOMBEIROS DE NAVEGANTES,1,Fundo Mun. Reequip.Corpo  Bombeiros de Navegantes,1036176.00
28,SECRETARIA MUNICIPAL DE SANEAMENTO BÁSICO,1,"Diretoria Adm.,Financeira,Planejamento e Projetos",1904980.00
28,SECRETARIA MUNICIPAL DE SANEAMENTO BÁSICO,2,"Diretoria de Operações,Expansão e Comércio",19768862.00
29,INSTITUTO PREV. SOCIAL SERV. MUNIC. NAVEGANTES,1,Diretoria Executiva,23498652.55
30,SECRETARIA MUNICIPAL DE GESTÃO E CONTROLE,1,Diretoria de Controle Preventivo,70000.00
30,SECRETARIA MUNICIPAL DE GESTÃO E CONTROLE,2,"Diretoria Adm., Financeira e de Planejamento",445800.00
30,SECRETARIA MUNICIPAL DE GESTÃO E CONTROLE,3,Diretoria de Ouvidoria,51380.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,1,Diretoria de Tributos Imobiliários e Dívida Ativa,284850.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,2,Diretoria de Tributos Mobiliários e Fiscalização,165360.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,3,Diretoria de Movimento Econômico,50000.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,4,Diretoria de Indústria e Comércio,1623485.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,5,Diretoria do Sine,50000.00
32,"SECRETARIA MUN.CRIANÇA,ADOLESCENTE E JUVENTUDE",1,Diretoria de Políticas da Criança e do Adolescente,1924263.11
32,"SECRETARIA MUN.CRIANÇA,ADOLESCENTE E JUVENTUDE",2,Diretoria de Políticas da Juventude,342706.43
99,RESERVA DE CONTINGÊNCIA,99,Reserva de Contingência,934495.17
